Game Name,Version,Repository,Short Description
"bombardier","0.8.3+nmu1+b3",main,"The GNU Bombing utility"
"bomber","4:18.04.1-1",main,"arcade spaceship game"
"bomberclone","0.11.9-7.1",main,"free Bomberman clone"
"boohu","0.12.0-1",main,"Break Out Of Hareka's Underground -- a roguelike game"
"boswars","2.7+svn160110-4",main,"futuristic real-time strategy game"
"bouncy","0.6.20071104-6",main,"eat the yummy veggies in the garden - game for small kids"
"bovo","4:18.04.1-1",main,"gomoku (five in line) board game"
"brainparty","0.61+dfsg-5",main,"36 puzzle games for all the family"
"briquolo","0.5.7-8",main,"fast paced 3d Breakout game"
"brutalchess","0.5.2+dfsg-8",main,"3D chess game with reflection of the chessmen"
"bsdgames","2.17-28",main,"collection of classic textual unix games"
"bsdgames-nonfree","2.17-8",non-free,"rogue, the classic dungeon exploration game"
"btanks","0.9.8083-8",main,"fast 2D tank arcade game with multiplayer and split-screen modes"
"bubbros","1.6.2-1",main,"multiplayer clone of the famous Bubble Bobble game"
"bucklespring","1.4.0-2",main,"Nostalgia bucklespring keyboard sound"
"bugsquish","0.0.6-9",main,"Bugs are trying to suck blood out of your arm!"
"bumprace","1.5.7-1",main,"1 or 2 players race through a multi-level maze"
"burgerspace","1.9.2-3",main,"Avoid evil foodstuffs and make burgers"
"bygfoot","2.3.2-2+b1",main,"football (a.k.a soccer) management game"
"bzflag","2.4.18-1",main,"3D first person tank battle game"
"bzflag-client","2.4.18-1+b1",main,"3D first person tank battle game -- client"
"cappuccino","0.5.1-9",main,"utility to let your boss think that you're working hard"
"cataclysm-dda-curses","0.C+git20190228.faafa3a-2",main,"post-apocalyptic roguelike game - curses interface"
"cataclysm-dda-sdl","0.C+git20190228.faafa3a-2",main,"post-apocalyptic roguelike game - SDL interface"
"caveexpress","2.4+git20160609-4+b1",main,"2D platformer with physics-based gameplay"
"cavepacker","2.4+git20160609-4+b1",main,"sokoban game with network based multiplayer gaming"
"cavezofphear","0.5.1-1+b3",main,"ASCII Boulder Dash clone"
"ceferino","0.97.8+svn37-2+b1",main,"action game similar to Super Pang"
"cgoban","1.9.14-18+b1",main,"complete Go board"
"chessx","1.4.6-2",main,"chess database"
"childsplay","3.3-2",main,"Suite of educational games for young children"
"chipw","2.0.6-1.2+b2",main,"custom level editor for TileWorld / Chip's Challenge™"
"chocolate-doom","3.0.0-4+deb10u1",main,"Doom engines closely-compatible with Vanilla Doom"
"chromium-bsu","0.9.16.1-2",main,"fast paced, arcade-style, scrolling space shooter"
"circuslinux","1.0.3-34",main,"Clowns are trying to pop balloons to score points!"
"colobot","0.1.11.1-6",main,"educational programming strategy game"
"colorcode","0.8.5-2",main,"advanced clone of the MasterMind code-breaking game"
"colossal-cave-adventure","1.4-1",main,"Colossal Cave Adventure game"
"connectagram","1.2.9-2",main,"word unscrambling game"
"cookietool","2.5-6+b1",main,"suite of programs to help maintain a fortune database"
"corsix-th","0.62-2",contrib,"Open source clone of Theme Hospital"
"cowsay","3.03+dfsg2-6",main,"configurable talking cow"
"cowsay-off","3.03+dfsg2-6",main,"configurable talking cow (offensive cows)"
"crack-attack","1.1.14-9.1+b2",main,"multiplayer OpenGL puzzle game like Tetris Attack"
"crafty","23.4-7",non-free,"state-of-the-art chess engine, compatible with xboard"
"crafty-bitmaps","1.0-1",contrib,"bitmap images for crafty chess game annotation mode"
"crafty-books-medium","1.0.debian1-2",contrib,"Medium size opening books for the crafty chess engine"
"crafty-books-medtosmall","1.0.debian1-2",contrib,"Medium-to-small size opening books for crafty chess engine"
"crafty-books-small","1.0.debian1-2",contrib,"Small-size opening books for crafty chess engine"
"crawl","2:0.23.0-1",main,"Dungeon Crawl, a text-based roguelike game"
"crawl-tiles","2:0.23.0-1",main,"Dungeon Crawl, a roguelike game, tiles version"
"crimson","0.5.2-1.1+b1",main,"hex-based tactical game"
"crispy-doom","5.4-3",main,"Limit-raising medium-resolution Doom engine based on Chocolate Doom"
"criticalmass","1:1.0.0-6",main,"Shoot-em-up a la galaxian"
"crossfire-client","1.73.0-1",main,"Client for the multiplayer roguelike Crossfire"
"crossfire-client-images","1.70.0-1",main,"Base crossfire-client images"
"crossfire-maps","1.71.0-1",main,"Standard set of maps for crossfire"
"crossfire-maps-small","1.5.0-3",main,"Small set of maps for crossfire"
"crrcsim","0.9.13-3.1",main,"Model-Airplane Flight Simulator"
"csmash","0.6.6-6.8+b1",main,"CannonSmash, a table tennis simulation game"
"csmash-demosong","1.4+nmu1",main,"Demo song for CannonSmash"
"cube2","0.0.20130404+dfsg-1",main,"3D first-person shooter game engine"
"cultivation","9+dfsg1-2+b1",main,"game about the interactions within a gardening community"
"curseofwar","1.1.8-3+b3",main,"Fast-paced action strategy game for Linux based on ncurses"
"cutemaze","1.2.4-1",main,"single player maze game"
"cyphesis-cpp","0.6.2-3+b1",main,"WorldForge game server"
"cyphesis-cpp-clients","0.6.2-3+b1",main,"WorldForge game server - clients to control the server"
"cyphesis-cpp-mason","0.6.2-3",main,"WorldForge game server - game data for Mason"
"cytadela","1.1.0-4",contrib,"old-school first person shooter game"
"d1x-rebirth","0.58.1-1+b1",non-free,"port of the 1995 classic game Descent 1: First Strike"
"d2x-rebirth","0.58.1-1.1",non-free,"port of the 1996 classic game Descent 2: Counterstrike"
"dangen","0.5-5",main,"shoot 'em up game where accurate shooting matters"
"darkplaces","0~20180412~beta1-2+b1",main,"Game engine for Quake and similar 3D first person shooter games"
"ddnet","11.8-1",main,"Teeworlds modification with a unique cooperative gameplay"
"deal","3.1.9-11",main,"bridge hand generator"
"dealer","20161012-4",main,"bridge hand generator"
"defendguin","0.0.12-7",main,"defender clone with penguins"
"desmume","0.9.11-3",main,"Nintendo DS emulator"
"deutex","5.1.2-1",main,"composition tool for doom-style WAD files"
"dhewm3","1.5.0+git20181221+dfsg-1",contrib,"GPL Doom 3 game engine"
"dhewm3-d3xp","1.5.0+git20181221+dfsg-1",contrib,"dhewm3's gamelibrary for the title DOOM³: Resurrection of Evil"
"dhewm3-doom3","1.5.0+git20181221+dfsg-1",contrib,"dhewm3's gamelibrary for the title DOOM³"
"dizzy","0.3-3",main,"Graphics demo that makes you dizzy using rotating textures"
"dodgindiamond2","0.2.2-3",main,"Little shoot-'em-up arcade game for one or two players"
"dolphin-emu","5.0+dfsg-5",main,"Gamecube and Wii emulator"
"doom-wad-shareware","1.9.fixed-2",non-free,"Shareware game files for the 3D game Doom"
"doomsday","1.15.8-5+b1",main,"enhanced version of the legendary DOOM game"
"dopewars","1.5.12-19+b1",main,"drug-dealing game set in streets of New York City"
"dossizola","1.0-10",main,"Isola board game with nice graphics"
"drascula","1.0+ds3-1",main,"classic 2D point and click adventure game -- English version"
"drascula-french","1.0+ds3-1",main,"classic 2D point and click adventure game -- French version"
"drascula-german","1.0+ds3-1",main,"classic 2D point and click adventure game -- German version"
"drascula-italian","1.0+ds3-1",main,"classic 2D point and click adventure game -- Italian version"
"drascula-spanish","1.0+ds3-1",main,"classic 2D point and click adventure game -- Spanish version"
"dreamchess","0.2.1-RC2-3",main,"3D chess game"
"dustracing2d","2.0.1-1",main,"tile-based 2D racing game"
"dvorak7min","1.6.1+repack-4",main,"typing tutor for Dvorak keyboards"
"dwarf-fortress","0.44.12+dfsg1-0+deb10u1",non-free,"Slaves to Armok: God of Blood Chapter II: Dwarf Fortress"
"eboard","1.1.3-0.4~deb10u1",main,"GTK+ chessboard program"
"efp","1.6-1",main,"Escape from Pong NES game"
"einstein","2.0.dfsg.2-10",main,"Puzzle game inspired on Einstein's puzzle"
"el-ixir","3.0-2",main,"two-player board game with randomness"
"ember-media","0.7.2.1-1",main,"3D client framework for the WorldForge project -- media files"
"empire","1.14-2",main,"war game of the century"
"empire-hub","1.0.2.2",main,"Empire protocol multiplexer"
"empire-lafe","1.1-1+b4",main,"Fast line-mode Empire client"
"endless-sky","0.9.8-1+b1",main,"space exploration and combat game"
"endless-sky-high-dpi","0.9.8-1",main,"space exploration and combat game"
"enemylines3","1.25-1",main,"semi-abstract first person 3d-shooter game"
"enemylines7","0.6-4+b2",main,"first person 3d-shooter game"
"enigma","1.20-dfsg.1-2.1+b2",main,"Game where you control a marble with the mouse"
"epiphany","0.7.0+0-5",main,"clone of Boulder Dash game"
"ethereal-chess","11.25+ds1-1",main,"UCI-compliant chess engine"
"etoys","5.0.2408-1",non-free,"media-rich model, simulation construction kit and authoring tool"
"etqw","63",contrib,"science-fiction-themed multiplayer first person shooter"
"etw","3.6+svn162-5",main,"arcade-style soccer game"
"excellent-bifurcation","0.0.20071015-8+b1",main,"abstract vertical shooter with two sides to play on"
"extremetuxracer","0.7.5-1+b1",main,"3D racing game featuring Tux, the Linux penguin"
"exult","1.2-18",contrib,"engine for Ultima VII (BG, FOV, SI, SS)"
"exult-studio","1.2-18",contrib,"tools for editing and viewing exult games"
"ezquake","2.2+git20150324-1",main,"modern QuakeWorld client"
"fairymax","5.0b-1",main,"xboard compatible chess and chess-variant engine"
"fathom","1.0+git.20190120.0439ca-1",main,"Command-line for probing Syzygy tablebases"
"ffrenzy","1.0.2~svn20150731-1+b1",main,"multiplayer platform game with dwarfs fighting with/for food"
"fheroes2-pkg","0+svn20150122r3274-2-2",contrib,"fheroes2 package downloader and builder"
"filler","1.02-6.2",main,"simple game where two players try to capture half the board"
"fillets-ng","1.0.1-4+b1",main,"puzzle game about witty fish saving the world sokoban-style"
"filters","2.55-3",main,"collected filters, including B1FF and the Swedish Chef"
"five-or-more","1:3.30.0-2",main,"make color lines of five or more length"
"fizmo-console","0.7.13-2",main,"Console-based Z-machine interpreter for Infocom/Inform games"
"fizmo-ncursesw","0.7.14-2+b1",main,"Ncurses-based Z-machine interpreter for Infocom/Inform games"
"fizmo-sdl2","0.8.5-2",main,"SDL2-based Z-machine interpreter for Infocom/Inform games"
"flare","0.19-1",main,"Meta package to deal with package name changes in Flare 0.19"
"flare-engine","1.09.01-1",main,"game engine for single-player 2D action role-playing games"
"flare-game","1.09.01-1",main,"fantasy single-player 2D action role-playing game"
"flight-of-the-amazon-queen","1.0.0-8",main,"classic 2D point and click fantasy adventure game"
"flightgear","1:2018.3.2+dfsg-2+b1",main,"Flight Gear Flight Simulator"
"flightgear-phi","2018.1.1+dfsg1-1.1",main,"FlightGear Flight Simulator -- Phi webfrontend"
"flobopuyo","0.20-5+b2",main,"Clone of the PuyoPuyo game"
"fltk1.1-games","1.1.10-26",main,"Fast Light Toolkit - example games: checkers, sudoku"
"fltk1.3-games","1.3.4-9",main,"Fast Light Toolkit - example games: checkers, sudoku"
"foobillardplus","3.43~svn170+dfsg-5",main,"3D OpenGL Billiard Game"
"fortune-anarchism","1.2-1",main,"anarchist quotes for fortune"
"fortune-mod","1:1.99.1-7+b1",main,"provides fortune cookies on demand"
"fortunes","1:1.99.1-7",main,"Data files containing fortune cookies"
"fortunes-bg","1.3",main,"Bulgarian data files for fortune"
"fortunes-bofh-excuses","1.2-2",main,"BOFH excuses for fortune"
"fortunes-br","20160820",main,"Data files with fortune cookies in Portuguese"
"fortunes-cs","2.0.9-1",main,"Czech and Slovak data files for fortune"
"fortunes-de","0.34-1",main,"German data files for fortune"
"fortunes-debian-hints","2.01.2",main,"Debian Hints for fortune"
"fortunes-eo","20020729b-1",main,"Collection of esperanto fortunes."
"fortunes-eo-ascii","20020729b-1",main,"Collection of esperanto fortunes (ascii encoding)."
"fortunes-eo-iso3","20020729b-1",main,"Collection of esperanto fortunes (ISO3 encoding)."
"fortunes-es","1.35",main,"Spanish fortune database"
"fortunes-es-off","1.35",main,"Spanish fortune cookies (Offensive section)"
"fortunes-fr","0.65+nmu2",main,"French fortunes cookies"
"fortunes-ga","0.10",main,"Irish (Gaelige) data files for fortune"
"fortunes-it","1.99-4",main,"Data files containing Italian fortune cookies"
"fortunes-it-off","1.99-4",main,"Data files containing Italian fortune cookies, offensive section"
"fortunes-mario","0.21-1",main,"Fortunes files from Mario"
"fortunes-min","1:1.99.1-7",main,"Data files containing selected fortune cookies"
"fortunes-off","1:1.99.1-7",main,"Data files containing offensive fortune cookies"
"fortunes-pl","0.0.20130525-2",main,"Polish data files for fortune"
"fortunes-ru","1.52-3",main,"Russian data files for fortune"
"fortunes-zh","2.95",main,"Chinese Data files for fortune"
"four-in-a-row","1:3.28.0-2",main,"Four in a Row game for GNOME"
"freealchemist","0.5-1",main,"simpler figure block game"
"freecell-solver-bin","5.0.0-2",main,"Library for solving Freecell games"
"freeciv","2.6.0-2",main,"Civilization turn based strategy game"
"freeciv-client-extras","2.6.0-2",main,"Civilization turn based strategy game (miscellaneous extras)"
"freeciv-client-gtk","2.6.0-2",main,"Civilization turn based strategy game (GTK+ client)"
"freeciv-client-gtk3","2.6.0-2",main,"Civilization turn based strategy game (GTK 3 client)"
"freeciv-client-qt","2.6.0-2",main,"Civilization turn based strategy game (Qt client)"
"freeciv-client-sdl","2.6.0-2",main,"Civilization turn based strategy game (SDL client)"
"freeciv-sound-standard","2.6.0-2",main,"Civilization turn based strategy game (standard sound pack)"
"freecol","0.11.6+dfsg2-2+deb10u1",main,"open source remake of the old Colonization"
"freedink","109.6-1",main,"humorous top-down adventure and role-playing game"
"freedink-dfarc","3.14-1",main,"frontend and .dmod installer for GNU FreeDink"
"freedink-engine","109.6-1",main,"humorous top-down adventure and role-playing game (engine)"
"freedm","0.11.3-1",main,"multiplayer deathmatch game for Doom-compatible engines"
"freedoom","0.11.3-1",main,"two single player campaigns for Doom-compatible engines"
"freedroid","1.0.2+cvs040112-6",main,"Clone of Paradroid - a strategic shoot-em up"
"freedroidrpg","0.16.1-4",main,"Isometric RPG influenced by Paradroid"
"freegish","1.53+git20140221+dfsg-1+b2",main,"physics based arcade game"
"freeorion","0.4.8-1+deb10u1",main,"turn-based space empire and galactic conquest game"
"freespace2","3.7.4+repack-1",non-free,"open implementation of the Freespace 2 game engine"
"freespace2-launcher-wxlauncher","0.11.0+dfsg-2",contrib,"launcher for the Freespace 2 Source Code Project"
"freesweep","1.0.1-1",main,"text-based minesweeper"
"freetennis","0.4.8-10+b3",main,"Free Tennis - simulation game"
"freevial","1.3-2.1",main,"trivia platform for community events"
"fretsonfire","1.3.110.dfsg2-5",main,"game of musical skill and fast fingers"
"fretsonfire-game","1.3.110.dfsg2-5",main,"game of musical skill and fast fingers - Game files"
"fretsonfire-songs-muldjord","2.dfsg-2",main,"game of musical skill and fast fingers - Songs Package"
"fretsonfire-songs-sectoid","1.dfsg-3",main,"game of musical skill and fast fingers - Songs Package"
"frogatto","1.3.1+dfsg-4+b2",contrib,"2D platformer game starring a quixotic frog"
"frotz","2.44-1+b1",main,"interpreter of Z-code story-files"
"frozen-bubble","2.212-9+b1",main,"cool game where you pop out the bubbles!"
"fruit","2.1.dfsg-7",main,"chess engine, to calculate chess moves"
"funguloids","1.06-13+b1",main,"space-flying-mushroom-picking-simulator game"
"funnyboat","1.5-10",main,"side scrolling arcade shooter game on a steamboat"
"galois","0.6-1",main,"falling blocks game with blocks of various shapes and sizes"
"gamazons","0.83-9",main,"Amazons boardgame for GNOME"
"gameclock","5.1",main,"simple chess clock to track time in real life games"
"gamine","1.6-1",main,"Interactive game for young children"
"garden-of-coloured-lights","1.0.9-1+b1",main,"abstract vertical shooter with music elements"
"gargoyle-free","2011.1b-1",main,"graphical player for Interactive Fiction games"
"gav","0.9.0-3+b2",main,"GPL Arcade Volleyball"
"gav-themes","0.7.3-2.2",main,"Extra themes for GPL Arcade Volleyball"
"gbatnav","1.0.4cvs20051004-5.1",main,"networked BattleShip game"
"gbrainy","1:2.3.9-1",main,"brain teaser game and trainer to have fun and to keep your brain trained"
"gearhead","1.310-1",main,"roguelike mecha role playing game, console version"
"gearhead-sdl","1.310-1",main,"roguelike mecha role playing game, SDL version"
"gearhead2","0.701-1",main,"roguelike mecha role playing game in space"
"gearhead2-sdl","0.701-1",main,"roguelike mecha role playing game in space"
"geekcode","1.7.3-7",main,"Program for generating geekcode"
"geki2","2.0.3-10",main,"Xenon-like vertical shoot'em-up"
"geki3","1.0.3-8.1",main,"R-Type-like horizontal shoot'em-up"
"gemdropx","0.9-8",main,"Gem Drop X is an interesting one-player puzzle game for X11"
"gemrb","0.8.5-1",contrib,"Open-source engine to run Baldur's Gate, Icewind Dale and Planescape: Torment"
"gemrb-baldurs-gate","0.8.5-1",contrib,"GemRB binary and configuration for Baldur's Gate game"
"gemrb-baldurs-gate-2","0.8.5-1",contrib,"GemRB binary and configuration for Baldur's Gate 2 game"
"gemrb-icewind-dale","0.8.5-1",contrib,"GemRB binary and configuration for Icewind Dale game"
"gemrb-icewind-dale-2","0.8.5-1",contrib,"GemRB binary and configuration for Icewind Dale 2 game"
"gemrb-planescape-torment","0.8.5-1",contrib,"GemRB binary and configuration for Planescape: Torment game"
"gfpoken","1-2+b1",main,"Recreate a grid of mirrors from clues given by tests"
"gigalomania","1.0+ds1-1",main,"Mega-Lo-Mania-like god game"
"gl-117","1.3.2-3+b1",main,"action flight simulator"
"glaurung","2.2-2+b2",main,"free UCI chess engine, to calculate chess moves"
"glhack","1.2-4",main,"Fullscreen SDL/OpenGL version of NetHack"
"glob2","0.9.4.4-2.5+b2",main,"innovative Real Time Strategy game"
"glpeces","5.2-1",main,"Tangram (puzzle) game clone"
"gltron","0.70final-12.2",main,"3D lightcycle game"
"gmult","8.0-2+b1",main,"figure out which letters are which numbers"
"gnome-2048","3.30.0-2",main,"sliding tile puzzle game"
"gnome-breakout","0.5.3-7",main,"Clone of the classic game Breakout, written for GNOME"
"gnome-chess","1:3.30.1-1",main,"simple chess game"
"gnome-games-app","3.30.2-2",main,"Game browser and launcher for GNOME"
"gnome-klotski","1:3.22.3-3",main,"Klotski puzzle game for GNOME"
"gnome-mahjongg","1:3.22.0-4",main,"classic Eastern tile game for GNOME"
"gnome-mastermind","0.3.1-3",main,"Mastermind™ clone for GNOME"
"gnome-mines","1:3.30.1.1-2",main,"popular minesweeper puzzle game for GNOME"
"gnome-nibbles","1:3.24.1-2",main,"snake game, up to four players"
"gnome-robots","1:3.22.3-3",main,"improved old BSD robots game"
"gnome-sudoku","1:3.30.0-2",main,"Sudoku puzzle game for GNOME"
"gnome-taquin","3.30.0-2",main,"game to move tiles so that they reach their places"
"gnome-tetravex","1:3.22.0-3",main,"put tiles on a board and match their edges together"
"gnubg","1.06.002-1+deb10u1",main,"graphical or console backgammon program with analysis"
"gnubik","2.4.3-3",main,"3D Rubik's cube game"
"gnuboy-sdl","1.0.3-7.1",contrib,"SDL binaries for gnuboy - Game Boy Emulator"
"gnuboy-x","1.0.3-7.1",contrib,"X binaries for gnuboy - Game Boy Emulator"
"gnuchess","6.2.5-1",main,"Plays a game of chess, either against the user or against itself"
"gnuchess-book","1.02-2",main,"Opening book for gnuchess"
"gnudoq","0.94-2.2+b1",main,"An open source, graphical Su Doku generator and solver with printer support"
"gnugo","3.8-9+b3",main,"play the game of Go"
"gnujump","1.0.8-3+b1",main,"platform game where you have to jump up to survive"
"gnuminishogi","1.4.2-6",main,"program to play minishogi, a shogi variant on a 5x5 board"
"gnurobbo","0.68+dfsg-4",main,"logic game ported from ATARI XE/XL"
"gnushogi","1.4.2-6",main,"program to play shogi, the Japanese version of chess"
"golly","3.2-2",main,"Game of Life simulator using hashlife algorithm"
"gplanarity","17906-7",main,"simple puzzle game involving untangling planar graphs"
"granatier","4:18.04.1-1",main,"Bomberman clone"
"granule","1.4.0-7-9+b1",main,"flashcard program for learning new words"
"gravitation","3+dfsg1-5",main,"game about mania, melancholia, and the creative process"
"gravitywars","1.102-34+b1",main,"clone of Gravity Force"
"greed","4.2-1",main,"curses-based clone of the DOS free-ware game Greed"
"grhino","0.16.1-4",main,"othello/reversi boardgame"
"groundhog","1.4-10+b1",main,"simple logic game"
"gsalliere","0.10-3",main,"Bridge duplicate scorer (GUI frontend)"
"gtans","1.99.0-2+b1",main,"Tangram (puzzle) game using GTK+"
"gtkatlantic","0.6.2-2",main,"Game like Monopoly"
"gtkballs","3.1.5-11+b1",main,"simple logic game"
"gtkboard","0.11pre0+cvs.2003.11.02-9",main,"many board games in one program"
"gtkpool","0.5.0-9+b1",main,"simple pool billiard game written with GTK+"
"gunroar","0.15.dfsg1-9",main,"360-degree gunboat shooter"
"gweled","0.9.1-7",main,"Diamond Mine-style puzzle game"
"hachu","0.21-7-g1c1f14a-2",main,"AI engine for many Shogi and Chess variants, including Chu, Sho, and Dai Shogi"
"hannah","1.0-3+b1",main,"pacman-like game, child oriented"
"hearse","1.5-8.3",main,"exchange Nethack bones files with other players"
"hedgewars","0.9.25-5",main,"Funny turn-based artillery game, featuring fighting hedgehogs!"
"heroes","0.21-17",main,"Collect powerups and avoid your opponents' trails"
"heroes-sound-effects","1.0-6",main,"Optional sound files for heroes"
"heroes-sound-tracks","1.0-6",main,"Optional sound files for heroes"
"hex-a-hop","1.1.0+git20140926-1",main,"puzzle game based on hexagonal tiles"
"hexalate","1.1.4-1",main,"Color matching puzzle"
"hexxagon","1.0pl1-3.1+b3",main,"Hexagonal Ataxx clone"
"hitori","3.31.0-1",main,"logic puzzle game similar to sudoku"
"hoichess","0.22.0-1",main,"xboard compatible chess engine to play chess with"
"hollywood","1.14-1.1",main,"fill your console with Hollywood melodrama technobabble"
"holotz-castle","1.3.14-9",main,"platform game with high doses of mystery"
"holotz-castle-editor","1.3.14-9",main,"platform game with high doses of mystery - level editor"
"hyperrogue","10.4j-1",main,"non-euclidean graphical rogue-like game"
"iagno","1:3.30.0-2",main,"popular Othello game for GNOME"
"icebreaker","1.21-12",main,"Break the iceberg"
"ii-esu","1.0a.dfsg1-8",main,"shooter game"
"infon-viewer","0~r198-8+b3",main,"Program bugs to compete for food and survival - GUI"
"instead","3.2.1-1",main,"Simple text adventures/visual novels engine"
"ioquake3","1.36+u20181222.e5da13f~dfsg-2",main,"Game engine for 3D first person shooter games"
"jag","0.3.5-3",main,"arcade and puzzle 2D game"
"jerry","3.1.0-1",main,"Chess GUI"
"jester","1.0-13",main,"board game similar to Othello"
"jigzo","0.6.1-7",main,"Photo puzzle game for children"
"jmdlx","0.4-9+b2",main,"jugglemaster deluxe using wxWidgets"
"jumpnbump","1.60-4",main,"cute multiplayer platform game with bunnies"
"jumpnbump-levels","20140925",main,"cute multiplayer platform game with bunnies (extra levels)"
"junior-toys","1.29",main,"Debian Jr. desktop toys"
"jzip","210r20001005d-4+b2",main,"Text mode interpreter for Z-Code adventures"
"kajongg","4:18.04.1-1",main,"classical Mah Jongg game"
"kanagram","4:18.04.0-1",main,"jumble word puzzle"
"kapman","4:18.04.1-1",main,"Pac-Man clone"
"katomic","4:18.04.1-1",main,"atomix puzzle game"
"kawari8","8.2.8-8+b2",main,"Pseudo AI Shiori module used to create ghosts for Ukagaka"
"kball","0.0.20041216-10+b1",main,"game of skill and reflexes for all the family"
"kblackbox","4:18.04.1-1",main,"Black Box puzzle game"
"kblocks","4:18.04.1-1",main,"falling blocks game"
"kbounce","4:18.04.1-1",main,"Jezzball arcade game"
"kbreakout","4:18.04.1-1",main,"ball and paddle game"
"kcheckers","0.8.1-4",main,"Checkers boardgame"
"kdiamond","4:18.04.1-1",main,"three-in-a-row game"
"ketm","0.0.6-24+b1",main,"old school 2D-scrolling shooter"
"kfourinline","4:18.04.1-1",main,"Connect Four game"
"kgoldrunner","4:18.04.1-1",main,"Lode Runner arcade game"
"khangman","4:17.08.3-2",main,"Hangman word puzzle"
"kigo","4:18.04.1-1",main,"go game"
"kiki-the-nano-bot","1.0.2+dfsg1-8",main,"3D puzzle game, mixing Sokoban and Kula-World"
