Game Name,Version,Repository,Short Description,Description,Tags,Homepage,Category,Interface,Tracker Info,Screenshots,Score,Notes
adonthell,0.3.8-1,main,2D graphical roleplaying game,"2D graphical roleplaying game,,
A 2D graphical RPG game inspired by good old console RPGs like the ones on the SNES.,,
,,
This package contains the Adonthell engine. You'll also need a game to be able to play. For this release, the official game is Waste's Edge, found in the package adonthell-data.","hardware::input:keyboard, role::program, uitoolkit::sdl, use::gameplaying, x11::application",https://adonthell.nongnu.org/index.shtml,rpg,graphical,https://tracker.debian.org/pkg/adonthell,https://screenshots.debian.net/package/adonthell,,nan
airstrike,0.99+1.0pre6a-9,main,2d dogfight game in the tradition of 'Biplanes' and 'BIP',"2d dogfight game in the tradition of 'Biplanes' and 'BIP',,
Airstrike is a 2d dogfight game in the tradition of the Intellivision and Amiga games 'Biplanes' and 'BIP'. It features a robust physics engine and several other extensions of the original games. Playable by 1 or 2 persons.","implemented-in::c, role::program, uitoolkit::sdl, use::gameplaying, x11::application",https://icculus.org/airstrike/,arcade,graphical,https://tracker.debian.org/pkg/airstrike,https://screenshots.debian.net/package/airstrike,,nan
aisleriot,1:3.22.7-2,main,GNOME solitaire card game collection,"GNOME solitaire card game collection,,
This is a collection of over eighty different solitaire card games, including popular variants such as spider, freecell, klondike, thirteen (pyramid), yukon, canfield and many more.","implemented-in::c, implemented-in::scheme, role::program, uitoolkit::gtk, use::gameplaying, x11::application",https://wiki.gnome.org/Apps/Aisleriot,card,graphical,https://tracker.debian.org/pkg/aisleriot,https://screenshots.debian.net/package/aisleriot,,nan
alex4,1.1-8,main,Alex the Allegator 4 - a retro platform game,"Alex the Allegator 4 - a retro platform game,,
Guide Alex the Allegator through the jungle in order to save his girlfriend Lola from evil humans who want to make a pair of shoes out of her. Plenty of classic platforming in four nice colors guaranteed!,,
,,
The game includes a built-in editor so you can design and share your own maps.","hardware::input:keyboard, implemented-in::c, role::program, uitoolkit::xlib, use::editing, use::gameplaying, x11::application",https://allegator.sourceforge.net/,platform,graphical,https://tracker.debian.org/pkg/alex4,https://screenshots.debian.net/package/alex4,2.0,looks like a game boy game
alien-arena,7.66+dfsg-5,contrib,Standalone 3D first person online deathmatch shooter,"Standalone 3D first person online deathmatch shooter,,
ALIEN ARENA is a standalone 3D first person online death-match shooter crafted from the original source code of Quake II and Quake III, released by id Software under the GPL license. With features including 32-bit graphics, a new particle engine and effects, light blooms, reflective water, hi-resolution textures and skins, and hi-poly models and stain maps, ALIEN ARENA pushes the envelope of graphical beauty rivaling today's top games.,,
,,
This package installs the SDL client for Alien Arena.","hardware::input:keyboard, hardware::input:mouse, hardware::opengl, implemented-in::c, network::client, role::program, uitoolkit::sdl, use::gameplaying, x11::application",https://martianbackup.com,fps,"graphical, 3d",https://tracker.debian.org/pkg/alien-arena,https://screenshots.debian.net/package/alien-arena,,nan
alienblaster,1.1.0-10,main,Classic 2D shoot 'em up,"Classic 2D shoot 'em up,,
Your mission is simple: Stop the invasion of the aliens and blast them!,,
,,
Alien Blaster is a classic 2D shoot 'em up featuring lots of different weapons, special items, aliens to blast and a big bad boss.,,
,,
It supports both a single player mode and a cooperative two player mode for two persons playing on one computer.","implemented-in::c++, role::program, uitoolkit::sdl, use::gameplaying, x11::application",http://www.schwardtnet.de/alienblaster/,arcade,graphical,https://tracker.debian.org/pkg/alienblaster,https://screenshots.debian.net/package/alienblaster,,nan
allure,0.8.3.0-3,main,near-future Sci-Fi roguelike and tactical squad game,"near-future Sci-Fi roguelike and tactical squad game,,
Allure of the Stars is a near-future Sci-Fi roguelike and tactical squad game.,,
,,
Not a single picture in this game. You have to imagine everything yourself, like with a book (a grown-up book, without pictures). Once you learn to imagine things, though, you can keep exploring and mastering the world and making up stories for a long time.,,
,,
The game is written in Haskell using the free software LambdaHack engine. Please see the changelog file for recent improvements and the issue tracker for short-term plans. Long term goals are high replayability and auto-balancing through procedural content generation and persistent content modification based on player behaviour. Contributions are welcome.","uitoolkit::gtk, uitoolkit::sdl",http://allureofthestars.com,,,https://tracker.debian.org/pkg/allure,https://screenshots.debian.net/package/allure,1.0,another rouge like
amoebax,0.2.1+dfsg-4,main,Puyo Puyo-style puzzle game for up to two players,"Puyo Puyo-style puzzle game for up to two players,,
Due an awful mutation, some amoeba's species have started to multiply until they take the world if you can't stop them. Fortunately the mutation made then too unstable and lining up four or more will make them disappear.,,
,,
Follow Kim or Tom through 6 levels in their quest to prevent the cute multiplying amoebas to take the world and become the new Amoeba Master. Watch out for the cute but amoeba's controlled creatures that will try to put and end to your quest.,,
,,
Amoebax is designed with levels for everyone, from children to adults. With the training mode everybody will quickly become a master and the tournament mode will let you have a good time with your friends. There is also catchy music, funny sound effects, and beautiful screens that sure appeal to everyone in the family.","role::program, uitoolkit::sdl, use::gameplaying, x11::application",https://www.emma-soft.com/games/amoebax/index.html,puzzle,graphical,https://tracker.debian.org/pkg/amoebax,https://screenshots.debian.net/package/amoebax,,nan
amphetamine,0.8.10-21,main,jump'n run game with unique visual effects,"jump'n run game with unique visual effects,,
Amphetamine is an exciting jump'n run game that offers some unique visual effects like colored lighting, fogging and coronas. You must fight eleven evil monsters with your magic weapons.","implemented-in::c++, role::program, uitoolkit::sdl, use::gameplaying, x11::application",https://tracker.debian.org/pkg/amphetamine,platform,graphical,https://tracker.debian.org/pkg/amphetamine,https://screenshots.debian.net/package/amphetamine,,nan
an,1.2-5,main,very fast anagram generator,"very fast anagram generator,,
Generates anagrams for a phrase supplied by the user, the words used in the anagram are taken from a specified dictionary which should contain one word per line (default:/usr/share/dict/words). It understands accented characters and should work with any alphabetic language.","implemented-in::c, role::program, use::gameplaying, works-with::text",https://salsa.debian.org/pm/an,toys,commandline,https://tracker.debian.org/pkg/an,https://screenshots.debian.net/package/an,,nan
angband,1:3.5.1-2.3,main,"Single-player, text-based, dungeon simulation game","Single-player, text-based, dungeon simulation game,,
Angband is a single-player, text-based, dungeon simulation derived from the game Moria, which was in turn based on Rogue. It is often described as a ""roguelike"" game because the look and feel of the game is still quite similar to Rogue (though there are now graphical tiles available if you dislike ASCII gaming). Angband has been in more or less continuous development since the early 1990s.,,
,,
The ultimate goal of the game is to develop a character strong enough to defeat Morgoth, who resides on dungeon level 100. Upon doing so, you will receive the exalted status of ""winner"" and your character may retire. To achieve this you will need to explore numerous dungeon levels, defeat many foes and sift through a great deal of treasure.,,
,,
Angband is a reference to Morgoth's ""prison of iron"" in the world of Middle-Earth, created by J.R.R. Tolkien.","implemented-in::c, role::program, uitoolkit::ncurses, uitoolkit::sdl, uitoolkit::xlib, use::gameplaying, x11::application",https://rephial.org,rpg,"commandline, graphical",https://tracker.debian.org/pkg/angband,https://screenshots.debian.net/package/angband,,nan
angrydd,1.0.1-12,main,Angry Drunken Dwarves - falling blocks puzzle game,"Angry Drunken Dwarves - falling blocks puzzle game,,
In Angry, Drunken Dwarves, you are an angry, drunken dwarf. Why are you so angry? Who knows. But you've decided to take your aggression out on other dwarves, by dropping gems on their heads. Lots of gems. angrydd is a member of the classic ""falling blocks"" puzzle game family, similar to the Capcom game Puzzle Fighter. The goal of the game is to build large gems by matching up colors, then break them, raining more gems down onto your opponent. The first person whose field fills up, loses.  angrydd has seven playable characters, six levels of AI, secret game modes and characters, and an original soundtrack.","implemented-in::python, role::program, scope::application, uitoolkit::sdl, use::gameplaying, x11::application",,tetris,graphical,https://tracker.debian.org/pkg/angrydd,https://screenshots.debian.net/package/angrydd,,nan
antigravitaattori,0.0.3-8,main,Multiplayer flying saucer racing game,"Multiplayer flying saucer racing game,,
This is a multiplayer flying saucer racing game, made for Assembly 2006 game competition. It is a great and fun game for the family with up to four players. Coming with astonishing 3d rendered graphics.","implemented-in::c++, junior::games-gl, role::program, uitoolkit::sdl, use::gameplaying, x11::application",,racing,"graphical, 3d",https://tracker.debian.org/pkg/antigravitaattori,https://screenshots.debian.net/package/antigravitaattori,,nan
ardentryst,1.71-6,main,"Action/RPG sidescoller, focused on story and character development","Action/RPG sidescoller, focused on story and character development,,
Ardentryst is an action/RPG sidescoller, focused not just on fighting, but on story, and character development. It features two playable characters and a variety of weapons, items, armour, monsters, and beautiful level scenery and graphics.","implemented-in::python, role::program, uitoolkit::sdl, use::gameplaying, x11::application",https://github.com/ardentryst/ardentryst,rpg,graphical,https://tracker.debian.org/pkg/ardentryst,https://screenshots.debian.net/package/ardentryst,,nan
armagetronad,0.2.8.3.4-2,main,3D Tron-like high speed game,"3D Tron-like high speed game,,
The rules are simple: you ride a light cycle (a kind of motorbike that can only turn 90 degrees at a time, leaves a wall behind and cannot be stopped) and have to avoid running into walls while at the same time you have to try to get your opponent to run into them.,,
,,
The idea is based on the Disney movie from 1982 called ""Tron"".  If you ever wanted to take a try at one of those speed demons features in the movie, this is your chance.,,
,,
Armagetron Advanced can be played against AI opponents, against other humans over the network, or a mixture of both.","junior::games-gl, network::client, role::program, uitoolkit::sdl, use::gameplaying, x11::application",https://www.armagetronad.org/,arcade,"graphical, 3d",https://tracker.debian.org/pkg/armagetronad,https://screenshots.debian.net/package/armagetronad,,nan
armagetronad-dedicated,0.2.8.3.4-2,main,dedicated game server for Armagetron Advanced,"dedicated game server for Armagetron Advanced,,
Armagetron Advanced is a 3D game based on the light cycle racing in the movie ""Tron"". You have to control a light cycle that can only turn in steps of 90 degrees, leaves a solid wall behind and can not be stopped.  The aim is to survive the longest of all players by not crashing into any walls.,,
,,
This version of Armagetron Advanced can only be used as a network game server. It does not have graphical output and can be controlled via the text console.,,
,,
The normal Armagetron Advanced used for playing is also capable to serve games, but will require X to display its graphics, will provide a player and is therefore unsuited for permanent game servers.","implemented-in::c++, network::server, role::program, use::gameplaying, x11::application",https://www.armagetronad.org/,arcade,graphical,https://tracker.debian.org/pkg/armagetronad-dedicated,https://screenshots.debian.net/package/armagetronad-dedicated,0.0,addon
asc,2.6.1.0-5+b1,main,turn-based strategy game,"turn-based strategy game,,
Advanced Strategic Command is a free strategy game in the tradition of Battle Isle 2/3. The game is turn-based and can be played against human or computer.","implemented-in::c++, network::client, role::program, uitoolkit::ncurses, uitoolkit::sdl, use::gameplaying, x11::application",http://www.asc-hq.org,strategy,graphical,https://tracker.debian.org/pkg/asc,https://screenshots.debian.net/package/asc,,nan
asciijump,1.0.2~beta-10,main,Small and funny ASCII-art game about ski jumping,"Small and funny ASCII-art game about ski jumping,,
This is a very funny multiplayer game, you can play with friends or against the computer. There are two modes of playing: World Cup and Training. You will be able to select from a few hills, for example czumulungma and finland.","implemented-in::c, role::program, uitoolkit::ncurses, use::gameplaying",,sport,commandline,https://tracker.debian.org/pkg/asciijump,https://screenshots.debian.net/package/asciijump,,nan
assaultcube,1.1.0.4+dfsg2-1.2+b1,contrib,realistic first-person-shooter,"realistic first-person-shooter,,
AssaultCube, formerly ActionCube, is a first-person-shooter based on the game Cube.,,
,,
Set in a realistic looking environment, as far as that's possible with this engine, while gameplay stays fast and arcade. This game is all about team oriented multiplayer fun.,,
,,
The game data required to play this game will be downloaded automatically when this package is installed.","hardware::input:keyboard, hardware::input:mouse, hardware::opengl, implemented-in::c++, network::client, network::server, role::program, scope::application, uitoolkit::sdl, use::gameplaying, x11::application",https://assault.cubers.net,fps,"graphical, 3d",https://tracker.debian.org/pkg/assaultcube,https://screenshots.debian.net/package/assaultcube,,nan
astromenace,1.3.2+repack-5,contrib,hardcore 3D space shooter with spaceship upgrade possibilities,"hardcore 3D space shooter with spaceship upgrade possibilities,,
AstroMenace is an astonishing hardcore scroll-shooter where brave space warriors may find a great opportunity to hone their combat skills. Gather money during the battle to spend them on turning your spaceship into an ultimate weapon of mass destruction and give hell to swarms of adversaries. Enjoy the wonderfully crafted 3d graphics and high-quality special effects along with a detailed difficulty adjustment and a handy interface of AstroMenace.","role::program, uitoolkit::sdl, use::gameplaying, x11::application",https://viewizard.com/,arcade,graphical,https://tracker.debian.org/pkg/astromenace,https://screenshots.debian.net/package/astromenace,,nan
asylum,0.3.2-3,main,surreal platform shooting game,"surreal platform shooting game,,
Young Sigmund has a few problems. To help him resolve his mental instability you must enter the surreal world of his inner mind and shut down the malfunctioning brain cells. Guide Sigmund through the Ego, Psyche and Id zones - each one 300 times the size of the screen - to locate the eight renegade neurons, entering them one by one to find and trigger their self-destruct system.,,
,,
This is a port of Digital Psychosis' 1994 game for the Acorn Archimedes.","role::program, uitoolkit::sdl, use::gameplaying, x11::application",http://sdl-asylum.sourceforge.net/,platform,graphical,https://tracker.debian.org/pkg/asylum,https://screenshots.debian.net/package/asylum,,nan
atanks,6.5~dfsg-3,main,tank-battling game,"tank-battling game,,
Atomic tanks is a multi-player game in which you attempt to destroy other tanks while trying to protect your own. You earn money for destroying other tanks; with this money you can buy upgrades and better weapons for your tank.,,
,,
This game is similar Scorched Earth or the Worms series of games.","role::program, uitoolkit::xlib, use::gameplaying, x11::application",http://atanks.sourceforge.net/,strategy,graphical,https://tracker.debian.org/pkg/atanks,https://screenshots.debian.net/package/atanks,,nan
atom4,4.1-9+b1,main,Original two-player color puzzle game,"Original two-player color puzzle game,,
Atom-4 is a two-player color manipulation game played with colored spherical pieces on a board divided into equilateral triangles. The player who first makes a row of 4 pieces of the right color wins. However, the players do not directly play pieces of the winning color; they must construct their winning pieces via color changes that happen to neighbouring pieces whenever a new piece is placed on the board.,,
,,
Atom-4 supports both a curses-based text interface and an X11 interface.","role::program, uitoolkit::ncurses, use::gameplaying, x11::application",,puzzle,"commandline, graphical",https://tracker.debian.org/pkg/atom4,https://screenshots.debian.net/package/atom4,,nan
atomix,3.31.90-1,main,puzzle game for building molecules out of separate atoms,"puzzle game for building molecules out of separate atoms,,
Atomix is an educational game designed for GNOME in which one has to build molecules, ranging from simple inorganic ones to some extremely complex organic ones, out of separate atoms.,,
,,
The first levels can be rather easy, but added complexity always comes with the next level, so that several minutes (or much longer than that) can be spent on each single level.","field::chemistry, implemented-in::c, role::program, suite::gnome, uitoolkit::gtk, use::gameplaying, use::learning, x11::application",https://wiki.gnome.org/Apps/Atomix,puzzle,graphical,https://tracker.debian.org/pkg/atomix,https://screenshots.debian.net/package/atomix,,nan
auralquiz,1.0.0-1.1,main,simple music quiz game using your own music files,"simple music quiz game using your own music files,,
auralquiz is a music quiz game that scans a users selected folder of music and creates a quiz using the tags from the audio files.  A sample of a random song is played and the player must answer a question about the sample from either multiple choice buttons or for hardcore difficulty, type in the correct answer. Up to 8 players can play in a turn based mode with scoring based on points, with more points given by answering the question faster.","implemented-in::c++, role::program, uitoolkit::qt, use::gameplaying, works-with-format::mp3, works-with-format::oggvorbis, works-with::audio, x11::application",http://jancoding.wordpress.com/auralquiz/,,graphical,https://tracker.debian.org/pkg/auralquiz,https://screenshots.debian.net/package/auralquiz,,nan
balder2d,1.0-2+b1,main,A 2D shooter in zero gravity,,,,,,https://tracker.debian.org/pkg/balder2d,https://screenshots.debian.net/package/balder2d,,nan
ballerburg,1.2.0-3,main,Classical castle combat game,"Classical castle combat game,,
Two castles, separated by a mountain, try to defeat each other with their cannonballs, either by killing the opponent's king or by weakening the opponent enough so that the king capitulates.,,
,,
Ballerburg was originally written 1987 by Eckhard Kruse, for the Atari ST machines (which were brand new computers at that point in time). Over 25 years later, here's finally the adaption of the original source code to modern operating systems.","implemented-in::c, role::program, uitoolkit::sdl, use::gameplaying, x11::application",http://baller.tuxfamily.org/,arcade,graphical,https://tracker.debian.org/pkg/ballerburg,https://screenshots.debian.net/package/ballerburg,,nan
ballz,1.0.4-1,main,B.A.L.L.Z. - platform/puzzle game where you control a rolling ball,"B.A.L.L.Z. - platform/puzzle game where you control a rolling ball,,
The game is a platformer with some puzzle elements. You take control of a ball which is genetically modified by the British secret service. Your mission is to rescue captured British soldiers from a prison in Iran.,,
,,
The game was written in 72 hours for the TINS competition, a competition similar to Speedhack. The name TINS is an recursive acronym for 'TINS is not Speedhack'.","implemented-in::c++, role::program, use::gameplaying, x11::application",https://gitlab.com/ballz,puzzle,graphical,https://tracker.debian.org/pkg/ballz,https://screenshots.debian.net/package/ballz,2.0,"minigame, didnt like the tematic"
bambam,1.0.1+dfsg-1,main,keyboard mashing and doodling game for babies,"keyboard mashing and doodling game for babies,,
Bambam is a simple baby keyboard masher application that locks the keyboard and mouse and instead displays bright colors, pictures, and sounds.,,
,,
Note: for safety it is recommended to run the game in a dedicated login session, rather than as an application in your regular session, especially when leaving your child unattended with the game. Look for session type BamBam in your display manager login screen.","implemented-in::python, junior::arcade, role::program, scope::application, uitoolkit::sdl, use::gameplaying, x11::application",https://github.com/porridge/bambam,toys,graphical,https://tracker.debian.org/pkg/bambam,https://screenshots.debian.net/package/bambam,,nan
barrage,1.0.4-3,main,Rather destructive action game,"Rather destructive action game,,
Barrage is a rather destructive action game that puts you on a shooting range with the objective to hit as many dummy targets as possible within 3 minutes. You control a gun which may either fire small or large grenades at dummy soldiers, jeeps and tanks. The gameplay is simple but it is not that easy to get high scores.","implemented-in::c, role::program, uitoolkit::sdl, use::gameplaying, x11::application",http://lgames.sourceforge.net/index.php?project=Barrage,arcade,graphical,https://tracker.debian.org/pkg/barrage,https://screenshots.debian.net/package/barrage,,nan
bastet,0.43-5+b1,main,ncurses Tetris clone with a bastard algorithm,"ncurses Tetris clone with a bastard algorithm,,
Bastet (""bastard Tetris"") is a free clone of Tetris which tries to compute how useful blocks are and gives you the worst possible brick. Playing bastet can be a painful experience, especially if you usually make ""canyons"" and wait for the long I-shaped block.","implemented-in::c, role::program, uitoolkit::ncurses, use::gameplaying",http://fph.altervista.org/prog/bastet.shtml,tetris,commandline,https://tracker.debian.org/pkg/bastet,https://screenshots.debian.net/package/bastet,,nan
bb,1.3rc1-11,main,ASCII-art demo based on AAlib,"ASCII-art demo based on AAlib,,
This package contains a 'high quality audio-visual demonstration' of ASCII-art using AAlib, a portable ASCII-art graphics library. This demonstration can be displayed in a text- or X11-terminal.","implemented-in::c, role::program, uitoolkit::ncurses, use::entertaining, use::viewing",https://aa-project.sourceforge.net/bb/,demos,commandline,https://tracker.debian.org/pkg/bb,https://screenshots.debian.net/package/bb,0.0,nan
beneath-a-steel-sky,0.0372-7,main,classic 2D point and click science fiction adventure game,"classic 2D point and click science fiction adventure game,,
A science-fiction thriller set in a bleak post-apocalyptic vision of the future, Beneath a Steel Sky revolves around ""Union City"", where selfishness, rivalry, and corruption by its citizens seems to be all too common, those who can afford it live underground, away from the pollution and social problems which are plaguing the city.,,
,,
You take on the role of Robert Foster, an outcast of sorts from the city since a boy who was raised in a remote environment outside of Union City simply termed ""the gap"".  Robert's mother took him away from Union City as a child on their way to ""Hobart"" but the helicopter crashed on its way, unfortunately Robert's mother dies, but he survives and is left to be raised by a local tribe from the gap.,,
,,
Years later, Union City security drops by and abducts Robert, killing his tribe in the process; upon reaching the city the helicopter taking him there crashes with him escaping, high upon a tower block in the middle of the city he sets out to discover the truth about his past, and to seek vengeance for the killing of his tribe.,,
,,
Note that this package only contains game-data.  The game engine is provided by ScummVM.","hardware::input:mouse, role::program, use::gameplaying",https://www.scummvm.org,adventure,,https://tracker.debian.org/pkg/beneath-a-steel-sky,https://screenshots.debian.net/package/beneath-a-steel-sky,,nan
berusky,1.7.1-1,main,Logic game based on Sokoban,"Logic game based on Sokoban,,
Berusky is a free logic game based on an ancient puzzle named Sokoban.  An old idea of moving boxes in a maze has been expanded with new logic items such as explosives, stones, special gates and so on. In addition, up to five bugs can cooperate and be controlled by the player.  In order to leave each level (there's about 120 levels in the game) it is necessary to own five keys and also to have a free way to the exit.","role::program, uitoolkit::gtk, uitoolkit::sdl, use::gameplaying, x11::application",https://www.anakreon.cz/berusky1.html,puzzle,graphical,https://tracker.debian.org/pkg/berusky,https://screenshots.debian.net/package/berusky,,nan
berusky2,0.10-7+deb10u1,main,logic game Bugs Escape 3D,"logic game Bugs Escape 3D,,
The game based on Berusky that is also available for Debian, though this is the enhanced 3D version. Berusky II is a game that challenges your visual/spatial thinking and the ability to find a way to resolve a logic task.,,
,,
The entire game takes place in a 3D environment while you slip into the role of different bugs and lead them out of a maze. In addition to arbitrary turning and level zooming all logical plots happen in space.,,
,,
In comparison to the first part, new logical elements, a simple linear story accompanied by comic series, various 3D environments, water surfaces and others have been added.","implemented-in::c++, role::program, uitoolkit::sdl, use::gameplaying, x11::application",https://anakreon.cz/berusky2.html,puzzle,"graphical, 3d",https://tracker.debian.org/pkg/berusky2,https://screenshots.debian.net/package/berusky2,,nan
between,6+dfsg1-3,main,game about consciousness and isolation,"game about consciousness and isolation,,
Between is a pixelated art game for two players by Jason Rohrer.,,
,,
You know exactly what you need to do -- you can see it shimmering right there in front of you. You can see it while dreaming, too, and the difference has become subtle. Dreams wake into dreams, and people blend in and out: real characters and dream characters, all woven into the same script. Finally, they fade completely, and you're alone in the expanse with the construction. With time, you feel something growing, a pinhole that eventually yawns into a deep ravine of longing. The construction languishes, though the expanse seems indifferent.,,
,,
One night, in a dream, they appear: things that you clearly could not have conjured on your own. Not snowflakes. Not the self-similar forms of leaves. Not distant planets' erosion networks as viewed through telescopes. Not those things that are beautifully external but lack the signatures of consciousness. These things that appear are ugly and non-procedural: indecipherable transmissions bubbling up through static, faded messages floating in bottles, and charcoal handprints on cave walls. Evidence has reached you through time of unknown duration and distance of unknown magnitude, but stale evidence is still evidence.,,
,,
Somewhere, across whatever barriers stand between, is an ""other"".","implemented-in::c++, role::program, system::TODO, system::laptop, uitoolkit::sdl, use::gameplaying, x11::application",https://www.esquire.com/news-politics/a5329/rohrer-game/,puzzle,graphical,https://tracker.debian.org/pkg/between,https://screenshots.debian.net/package/between,,nan
billard-gl,1.75-17,main,3D billiards game,"3D billiards game,,
Play a game of 8-ball or 9-ball, either in training mode or against a friend. For beginners, the game features a tutorial, introducing them to the user-interface and controls. Help is also available for those who do not know the rules for an 8-ball or 9-ball game.","hardware::opengl, implemented-in::c++, role::program, uitoolkit::xlib, use::gameplaying, x11::application",http://www.billardgl.de/index-en.html,simulation,"graphical, 3d",https://tracker.debian.org/pkg/billard-gl,https://screenshots.debian.net/package/billard-gl,,nan
